Land,Stig,Stig(%),Votings,Votings not null,Votings not null (%)
Sweden,189,58.33,19,18,94.74
Norway,109,37.85,17,14,82.35
Denmark,102,56.67,12,12,100.00
Finland,97,47.55,12,10,83.33
France,84,25.00,20,11,55.00
Ukraine,75,25.00,18,9,50.00
Australia,71,45.51,7,5,71.43
Netherlands,59,32.78,9,5,55.56
Portugal,59,32.78,9,7,77.78
Switzerland,49,29.17,9,4,44.44
Italy,49,19.44,13,7,53.85
Belgium,43,25.60,9,5,55.56
Austria,38,22.62,9,4,44.44
United Kingdom,37,11.01,20,6,30.00
Croatia,36,23.08,9,5,55.56
Russia,35,16.20,15,8,53.33
Czechia,32,26.67,5,5,100.00
Hungary,31,19.87,10,5,50.00
Estonia,31,17.22,10,5,50.00
Germany,31,9.23,20,6,30.00
Poland,30,20.83,8,6,75.00
Israel,28,11.67,13,3,23.08
Lithuania,25,10.96,13,5,38.46
Greece,25,9.47,17,5,29.41
Azerbaijan,24,11.11,13,5,38.46
Ireland,23,17.42,9,5,55.56
Romania,23,11.98,14,5,35.71
Albania,21,11.67,11,3,27.27
Cyprus,21,9.21,12,3,25.00
Moldova,20,9.26,13,3,23.08
Bulgaria,18,16.67,5,2,40.00
Malta,17,10.90,10,4,40.00
Serbia,16,6.67,13,6,46.15
Latvia,14,12.96,7,3,42.86
Armenia,13,6.02,13,4,30.77
Spain,12,3.57,20,4,20.00
North Macedonia,8,9.52,6,1,16.67
Turkey,8,8.33,8,2,25.00
Serbia & Montenegro,7,29.17,2,1,50.00
Bosnia & Herzegovina,5,4.63,9,2,22.22
Belarus,4,4.17,6,1,16.67
Georgia,2,1.67,8,1,12.50
Slovenia,2,1.39,8,1,12.50
San Marino,1,1.67,3,1,33.33
Montenegro,0,0.00,2,0,0.00
Andorra,0,0.00,0,0,0.00
Luxembourg,0,0.00,1,0,0.00
Marocco,0,0.00,0,0,0.00
Monaco,0,0.00,0,0,0.00
Rest of world,0,0.00,0,0,0.00
Slovakia,0,0.00,0,0,0.00
Yugoslavia,0,0.00,0,0,0.00
